Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region
47,0,Married,86,>5 years,0,1,Medium,100,Full Coverage,0,2486,0,0,0,0,Online,11,0,0,2,3,9,619.874018371437,50,Urban,100
26,0,Single,0,1-5 years,50,1,Medium,100,Full Coverage,0,2350,0,0,0,0,Online,1,1,6,2,3,9,712.5505071875293,-50,Urban,100
63,1,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2286,0,0,0,0,Agent,3,1,9,3,2,7,818.5221305686492,-50,Rural,0
28,0,Divorced,0,>5 years,0,1,Low,50,Liability-Only,-200,2150,0,0,0,0,Online,22,1,1,5,3,8,696.130456513325,50,Urban,100
35,0,Divorced,0,1-5 years,50,1,Low,50,Liability-Only,-200,2150,0,1,0,50,Online,11,1,5,1,1,6,572.5516995875857,50,Urban,100
52,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2286,0,0,0,0,Referral,6,1,4,2,1,2,709.0038119320532,-50,Suburban,50
21,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2386,0,1,0,50,Online,22,1,3,3,3,4,654.0516608775712,50,Urban,100
43,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,13,1,3,0,1,1,774.9097839820604,-50,Rural,0
59,1,Single,0,>5 years,0,0,High,0,Full Coverage,0,2200,0,0,0,0,Online,18,1,6,2,2,7,734.8434729855874,-50,Urban,100
18,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2186,1,0,0,50,Online,28,0,2,3,2,14,795.7142465210949,-50,Rural,0
42,0,Single,0,<1 year,100,1,Medium,100,Full Coverage,0,2350,0,0,0,0,Online,14,1,3,0,1,6,712.4489246051946,-50,Suburban,50
43,0,Married,86,<1 year,100,1,Medium,100,Full Coverage,0,2586,0,0,0,0,Online,14,0,4,2,1,11,673.3593843750765,50,Urban,100
51,0,Married,86,1-5 years,50,1,High,200,Liability-Only,-200,2286,0,1,0,50,Online,26,1,9,3,2,6,761.3179297351751,-50,Urban,100
21,0,Married,86,1-5 years,50,0,High,0,Full Coverage,0,2286,0,0,0,0,Agent,29,1,4,2,1,5,763.7645200122877,-50,Suburban,50
20,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2436,0,0,0,0,Agent,5,0,5,1,2,14,687.8347819100743,50,Urban,100
47,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,1900,1,0,0,50,Online,12,1,6,0,3,13,706.0703814468642,-50,Rural,0
44,0,Widowed,0,<1 year,100,0,Low,0,Full Coverage,0,2200,0,1,0,50,Online,3,1,7,1,2,11,710.6368669677922,-50,Suburban,50
43,0,Married,86,1-5 years,50,2,Medium,200,Liability-Only,-200,2236,0,0,0,0,Referral,11,1,5,2,3,3,739.3445901847006,-50,Rural,0
45,0,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2100,0,1,0,50,Online,1,1,3,7,3,2,710.7504369804692,-50,Suburban,50
29,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2236,0,0,0,0,Agent,16,1,4,2,1,13,695.0683222209566,50,Suburban,50
43,0,Single,0,1-5 years,50,2,Low,100,Full Coverage,0,2450,0,0,0,0,Online,7,1,7,2,1,1,693.2227226236837,50,Urban,100
44,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,0,1,0,50,Agent,3,1,5,0,2,2,677.601624195515,50,Urban,100
29,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,22,1,8,2,2,7,689.090775319615,50,Suburban,50
67,1,Widowed,0,<1 year,100,0,Low,0,Full Coverage,0,2200,1,1,0,100,Agent,3,1,5,2,2,7,735.2487956239352,-50,Urban,100
47,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2336,0,0,1,50,Online,17,0,4,1,3,14,679.472579101236,50,Urban,100
22,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2350,0,0,0,0,Online,18,1,6,6,1,2,640.5122146444061,50,Suburban,50
49,0,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Online,15,1,4,3,3,7,667.197796118042,50,Suburban,50
25,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2436,1,0,0,50,Online,29,1,5,1,1,12,684.5865694605267,50,Urban,100
51,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2236,0,0,0,0,Agent,23,1,6,2,1,2,705.8240841278779,-50,Suburban,50
57,1,Married,86,>5 years,0,1,Medium,100,Full Coverage,0,2436,0,0,1,50,Online,21,1,4,4,3,3,667.9810913349252,50,Urban,100
27,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,1,0,1,100,Online,6,1,3,2,1,7,661.4365205063716,50,Suburban,50
54,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2086,1,0,0,50,Online,3,1,7,2,1,9,772.0175532622084,-50,Urban,100
46,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Agent,16,1,5,0,2,14,761.2277744917852,-50,Suburban,50
52,0,Married,86,<1 year,100,0,High,0,Full Coverage,0,2386,0,0,0,0,Referral,9,1,2,1,1,12,740.464975995646,-50,Urban,100
68,1,Single,0,>5 years,0,1,Medium,100,Full Coverage,0,2250,1,0,0,50,Online,30,1,5,1,3,4,714.3269324743009,-50,Urban,100
36,0,Widowed,0,<1 year,100,0,Medium,0,Liability-Only,-200,2150,0,1,0,50,Online,3,0,1,3,3,11,681.7537327039119,50,Urban,100
28,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2536,0,0,0,0,Online,20,1,7,0,2,2,674.5148300703554,50,Urban,100
26,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Referral,17,1,4,1,1,12,754.9152043788725,-50,Urban,100
27,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2286,0,1,1,100,Online,15,1,5,2,3,13,769.9310947182216,-50,Urban,100
38,0,Divorced,0,>5 years,0,0,Low,0,Full Coverage,0,2150,0,0,0,0,Online,10,1,8,0,3,12,719.4315416433657,-50,Suburban,50
45,0,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2200,0,0,0,0,Online,18,1,6,1,1,14,717.2754068029919,-50,Urban,100
44,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2386,0,0,0,0,Online,27,0,5,3,1,8,728.0484440866712,-50,Urban,100
52,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2186,0,1,1,100,Agent,1,0,3,1,2,8,714.3821999174546,-50,Urban,100
